OMRKK;TID;INDHOLD
Bydel - Nørrebro;2016K4;80066
Bydel - Nørrebro;2017K1;79951
Bydel - Nørrebro;2017K2;80282
Bydel - Nørrebro;2017K3;80058
Bydel - Nørrebro;2017K4;80792
Bydel - Nørrebro;2018K1;80572
Bydel - Nørrebro;2018K2;80686
Bydel - Nørrebro;2018K3;80513
Bydel - Nørrebro;2018K4;80842
Bydel - Nørrebro;2019K1;80615
Bydel - Nørrebro;2019K2;80712
Bydel - Nørrebro;2019K3;80318
Bydel - Nørrebro;2019K4;80646
Bydel - Nørrebro;2020K1;80254
Bydel - Nørrebro;2020K2;79977
Bydel - Nørrebro;2020K3;79505
Bydel - Nørrebro;2020K4;79601
Bydel - Nørrebro;2021K1;79217
Bydel - Nørrebro;2021K2;79000
Bydel - Nørrebro;2021K3;78484
Bydel - Nørrebro;2021K4;78591
Bydel - Nørrebro;2022K1;78588
Bydel - Nørrebro;2022K2;78552
Bydel - Nørrebro;2022K3;78402
Bydel - Nørrebro;2022K4;78508
Bydel - Nørrebro;2023K1;78583
Bydel - Nørrebro;2023K2;78779
Bydel - Nørrebro;2023K3;78962
Bydel - Nørrebro;2023K4;79318
Bydel - Nørrebro;2024K1;79067
Bydel - Nørrebro;2024K2;79264
Bydel - Nørrebro;2024K3;79339
Bydel - Nørrebro;2024K4;79639
Bydel - Nørrebro;2025K1;79768
Bydel - Vesterbro/Kongens Enghave;1974K1;64835
Bydel - Vesterbro/Kongens Enghave;1975K1;62734
Bydel - Vesterbro/Kongens Enghave;1976K1;60177
Bydel - Vesterbro/Kongens Enghave;1977K1;58422
Bydel - Vesterbro/Kongens Enghave;1978K1;56740
Bydel - Vesterbro/Kongens Enghave;1979K1;55420
Bydel - Vesterbro/Kongens Enghave;1980K1;54548
Bydel - Vesterbro/Kongens Enghave;1981K1;54248
Bydel - Vesterbro/Kongens Enghave;1982K1;53335
Bydel - Vesterbro/Kongens Enghave;1983K1;52526
Bydel - Vesterbro/Kongens Enghave;1984K1;52083
Bydel - Vesterbro/Kongens Enghave;1985K1;50905
Bydel - Vesterbro/Kongens Enghave;1986K1;49869
Bydel - Vesterbro/Kongens Enghave;1987K1;49425
Bydel - Vesterbro/Kongens Enghave;1988K1;49116
Bydel - Vesterbro/Kongens Enghave;1989K1;48894
Bydel - Vesterbro/Kongens Enghave;1990K1;48411
Bydel - Vesterbro/Kongens Enghave;1991K1;48032
Bydel - Vesterbro/Kongens Enghave;1992K1;47854
Bydel - Vesterbro/Kongens Enghave;1993K1;47589
Bydel - Vesterbro/Kongens Enghave;1994K1;47538
Bydel - Vesterbro/Kongens Enghave;1995K1;47633
Bydel - Vesterbro/Kongens Enghave;1996K1;47734
Bydel - Vesterbro/Kongens Enghave;1997K1;48275
Bydel - Vesterbro/Kongens Enghave;1998K1;49109
Bydel - Vesterbro/Kongens Enghave;1999K1;49520
Bydel - Vesterbro/Kongens Enghave;2000K1;50312
Bydel - Vesterbro/Kongens Enghave;2001K1;50756
