OMRKK;TID;INDHOLD
Bydel - Vesterbro/Kongens Enghave;2014K1;38193
Bydel - Vesterbro/Kongens Enghave;2014K2;38280
Bydel - Vesterbro/Kongens Enghave;2014K3;38375
Bydel - Vesterbro/Kongens Enghave;2014K4;39081
Bydel - Vesterbro/Kongens Enghave;2015K1;38946
Bydel - Vesterbro/Kongens Enghave;2015K2;39017
Bydel - Vesterbro/Kongens Enghave;2015K3;38811
Bydel - Vesterbro/Kongens Enghave;2015K4;39559
Bydel - Vesterbro/Kongens Enghave;2016K1;39626
Bydel - Vesterbro/Kongens Enghave;2016K2;40026
Bydel - Vesterbro/Kongens Enghave;2016K3;40293
Bydel - Vesterbro/Kongens Enghave;2016K4;40731
Bydel - Vesterbro/Kongens Enghave;2017K1;40989
Bydel - Vesterbro/Kongens Enghave;2017K2;41356
Bydel - Vesterbro/Kongens Enghave;2017K3;41263
Bydel - Vesterbro/Kongens Enghave;2017K4;42052
Bydel - Vesterbro/Kongens Enghave;2018K1;42594
Bydel - Vesterbro/Kongens Enghave;2018K2;42892
Bydel - Vesterbro/Kongens Enghave;2018K3;42911
Bydel - Vesterbro/Kongens Enghave;2018K4;43636
Bydel - Vesterbro/Kongens Enghave;2019K1;43662
Bydel - Vesterbro/Kongens Enghave;2019K2;43885
Bydel - Vesterbro/Kongens Enghave;2019K3;44111
Bydel - Vesterbro/Kongens Enghave;2019K4;44900
Bydel - Vesterbro/Kongens Enghave;2020K1;45186
Bydel - Vesterbro/Kongens Enghave;2020K2;45199
Bydel - Vesterbro/Kongens Enghave;2020K3;45184
Bydel - Vesterbro/Kongens Enghave;2020K4;46119
Bydel - Vesterbro/Kongens Enghave;2021K1;46382
Bydel - Vesterbro/Kongens Enghave;2021K2;46749
Bydel - Vesterbro/Kongens Enghave;2021K3;47138
Bydel - Vesterbro/Kongens Enghave;2021K4;48105
Bydel - Vesterbro/Kongens Enghave;2022K1;48126
Bydel - Vesterbro/Kongens Enghave;2022K2;48183
Bydel - Vesterbro/Kongens Enghave;2022K3;48193
Bydel - Vesterbro/Kongens Enghave;2022K4;48999
Bydel - Vesterbro/Kongens Enghave;2023K1;49407
Bydel - Vesterbro/Kongens Enghave;2023K2;49521
Bydel - Vesterbro/Kongens Enghave;2023K3;49671
Bydel - Vesterbro/Kongens Enghave;2023K4;50352
Bydel - Vesterbro/Kongens Enghave;2024K1;50243
Bydel - Vesterbro/Kongens Enghave;2024K2;50465
Bydel - Vesterbro/Kongens Enghave;2024K3;50584
Bydel - Vesterbro/Kongens Enghave;2024K4;51541
Bydel - Vesterbro/Kongens Enghave;2025K1;51651
Bydel - Valby;1998K1;27819
Bydel - Valby;1999K1;27854
Bydel - Valby;2000K1;27745
Bydel - Valby;2001K1;27653
Bydel - Valby;2002K1;27682
Bydel - Valby;2002K2;27721
Bydel - Valby;2002K3;27654
Bydel - Valby;2002K4;27754
Bydel - Valby;2003K1;27633
Bydel - Valby;2003K2;27690
Bydel - Valby;2003K3;27595
Bydel - Valby;2003K4;27796
Bydel - Valby;2004K1;27752
Bydel - Valby;2004K2;27693
Bydel - Valby;2004K3;27602
Bydel - Valby;2004K4;27689
Bydel - Valby;2005K1;27777
Bydel - Valby;2005K2;27773
Bydel - Valby;2005K3;27674
Bydel - Valby;2005K4;27729
Bydel - Valby;2006K1;27519
Bydel - Valby;2006K2;27423
Bydel - Valby;2006K3;27294
Bydel - Valby;2006K4;27370
Bydel - Valby;2007K1;27295
Bydel - Valby;2007K2;27221
Bydel - Valby;2007K3;27210
Bydel - Valby;2007K4;27355
Bydel - Valby;2008K1;27395
Bydel - Valby;2008K2;27505
Bydel - Valby;2008K3;27493
Bydel - Valby;2008K4;27801
Bydel - Valby;2009K1;27819
Bydel - Valby;2009K2;27843
Bydel - Valby;2009K3;27944
Bydel - Valby;2009K4;28183
Bydel - Valby;2010K1;28147
Bydel - Valby;2010K2;28051
Bydel - Valby;2010K3;27965
Bydel - Valby;2011K1;28328
Bydel - Valby;2011K2;28549
Bydel - Valby;2011K3;28460
Bydel - Valby;2011K4;28683
Bydel - Valby;2012K1;28716
Bydel - Valby;2012K2;28765
Bydel - Valby;2012K3;28777
Bydel - Valby;2012K4;29186
Bydel - Valby;2013K1;29265
Bydel - Valby;2013K2;29492
Bydel - Valby;2013K3;29484
Bydel - Valby;2013K4;29850
Bydel - Valby;2014K1;29893
Bydel - Valby;2014K2;30046
Bydel - Valby;2014K3;29996
Bydel - Valby;2014K4;30321
Bydel - Valby;2015K1;30349
Bydel - Valby;2015K2;30474
Bydel - Valby;2015K3;30467
Bydel - Valby;2015K4;30937
Bydel - Valby;2016K1;31170
Bydel - Valby;2016K2;31283
Bydel - Valby;2016K3;31285
Bydel - Valby;2016K4;31905
Bydel - Valby;2017K1;32040
Bydel - Valby;2017K2;32162
Bydel - Valby;2017K3;32109
Bydel - Valby;2017K4;32678
Bydel - Valby;2018K1;33081
Bydel - Valby;2018K2;33281
Bydel - Valby;2018K3;33319
Bydel - Valby;2018K4;34111
Bydel - Valby;2019K1;34391
Bydel - Valby;2019K2;34532
Bydel - Valby;2019K3;34767
Bydel - Valby;2019K4;35397
Bydel - Valby;2020K1;35674
Bydel - Valby;2020K2;35889
Bydel - Valby;2020K3;36049
Bydel - Valby;2020K4;36712
Bydel - Valby;2021K1;36777
Bydel - Valby;2021K2;37245
Bydel - Valby;2021K3;37256
Bydel - Valby;2021K4;37983
Bydel - Valby;2022K1;38440
Bydel - Valby;2022K2;38711
Bydel - Valby;2022K3;39042
Bydel - Valby;2022K4;39630
Bydel - Valby;2023K1;39922
Bydel - Valby;2023K2;39846
Bydel - Valby;2023K3;39461
Bydel - Valby;2023K4;39645
Bydel - Valby;2024K1;39582
Bydel - Valby;2024K2;39397
Bydel - Valby;2024K3;39244
Bydel - Valby;2024K4;39801
Bydel - Valby;2025K1;39759
Bydel - Vanløse;1998K1;21577
Bydel - Vanløse;1999K1;21520
Bydel - Vanløse;2000K1;21562
Bydel - Vanløse;2001K1;21614
