OMRKK;TID;INDHOLD
Lokaludvalg - Kgs. Enghave;2021;1531,2
Lokaludvalg - Kgs. Enghave;2022;1282,0
Lokaludvalg - Kgs. Enghave;2023;1256,8
Lokaludvalg - Kgs. Enghave;2024;1271,2
Lokaludvalg - Valby;2006;1662,5
Lokaludvalg - Valby;2007;1556,6
Lokaludvalg - Valby;2008;1776,5
Lokaludvalg - Valby;2009;1621,4
Lokaludvalg - Valby;2010;1818,1
Lokaludvalg - Valby;2011;1745,5
Lokaludvalg - Valby;2012;1683,8
Lokaludvalg - Valby;2013;1676,9
Lokaludvalg - Valby;2014;1584,0
Lokaludvalg - Valby;2015;1706,2
Lokaludvalg - Valby;2016;1677,5
Lokaludvalg - Valby;2017;1681,5
Lokaludvalg - Valby;2018;1598,2
Lokaludvalg - Valby;2019;1675,6
Lokaludvalg - Valby;2020;1703,3
Lokaludvalg - Valby;2021;1652,4
Lokaludvalg - Valby;2022;1433,9
Lokaludvalg - Valby;2023;1357,3
Lokaludvalg - Valby;2024;1293,9
Lokaludvalg - Vanløse;2006;1570,5
Lokaludvalg - Vanløse;2007;1602,3
Lokaludvalg - Vanløse;2008;1472,3
Lokaludvalg - Vanløse;2009;1661,2
Lokaludvalg - Vanløse;2010;1613,9
Lokaludvalg - Vanløse;2011;1754,6
Lokaludvalg - Vanløse;2012;1570,0
Lokaludvalg - Vanløse;2013;1470,1
Lokaludvalg - Vanløse;2014;1571,4
Lokaludvalg - Vanløse;2015;1626,4
Lokaludvalg - Vanløse;2016;1565,8
Lokaludvalg - Vanløse;2017;1527,8
Lokaludvalg - Vanløse;2018;1470,5
Lokaludvalg - Vanløse;2019;1482,6
Lokaludvalg - Vanløse;2020;1408,7
Lokaludvalg - Vanløse;2021;1517,3
Lokaludvalg - Vanløse;2022;1305,0
Lokaludvalg - Vanløse;2023;1313,4
Lokaludvalg - Vanløse;2024;1313,3
Lokaludvalg - Brønshøj-Husum;2006;1947,1
Lokaludvalg - Brønshøj-Husum;2007;1966,2
Lokaludvalg - Brønshøj-Husum;2008;1865,2
Lokaludvalg - Brønshøj-Husum;2009;2102,4
Lokaludvalg - Brønshøj-Husum;2010;2026,8
Lokaludvalg - Brønshøj-Husum;2011;2102,5
Lokaludvalg - Brønshøj-Husum;2012;1970,0
Lokaludvalg - Brønshøj-Husum;2013;1916,5
Lokaludvalg - Brønshøj-Husum;2014;1997,0
Lokaludvalg - Brønshøj-Husum;2015;1824,3
Lokaludvalg - Brønshøj-Husum;2016;1967,5
Lokaludvalg - Brønshøj-Husum;2017;1872,2
Lokaludvalg - Brønshøj-Husum;2018;1732,8
Lokaludvalg - Brønshøj-Husum;2019;1737,5
Lokaludvalg - Brønshøj-Husum;2020;1698,6
Lokaludvalg - Brønshøj-Husum;2021;1709,9
Lokaludvalg - Brønshøj-Husum;2022;1516,8
Lokaludvalg - Brønshøj-Husum;2023;1519,7
Lokaludvalg - Brønshøj-Husum;2024;1456,9
Lokaludvalg - Bispebjerg;2006;1313,8
Lokaludvalg - Bispebjerg;2007;1379,2
Lokaludvalg - Bispebjerg;2008;1436,5
Lokaludvalg - Bispebjerg;2009;1412,0
Lokaludvalg - Bispebjerg;2010;1539,1
Lokaludvalg - Bispebjerg;2011;1543,8
Lokaludvalg - Bispebjerg;2012;1587,7
Lokaludvalg - Bispebjerg;2013;1448,6
Lokaludvalg - Bispebjerg;2014;1460,7
Lokaludvalg - Bispebjerg;2015;1463,2
Lokaludvalg - Bispebjerg;2016;1402,5
Lokaludvalg - Bispebjerg;2017;1451,8
Lokaludvalg - Bispebjerg;2018;1420,9
Lokaludvalg - Bispebjerg;2019;1364,1
Lokaludvalg - Bispebjerg;2020;1363,7
Lokaludvalg - Bispebjerg;2021;1371,5
Lokaludvalg - Bispebjerg;2022;1129,2
Lokaludvalg - Bispebjerg;2023;1185,6
Lokaludvalg - Bispebjerg;2024;1181,5
Lokaludvalg - Amager Øst;2006;1430,3
Lokaludvalg - Amager Øst;2007;1472,2
Lokaludvalg - Amager Øst;2008;1503,6
Lokaludvalg - Amager Øst;2009;1412,0
Lokaludvalg - Amager Øst;2010;1612,8
Lokaludvalg - Amager Øst;2011;1447,4
Lokaludvalg - Amager Øst;2012;1523,8
Lokaludvalg - Amager Øst;2013;1310,6
Lokaludvalg - Amager Øst;2014;1394,9
Lokaludvalg - Amager Øst;2015;1498,0
Lokaludvalg - Amager Øst;2016;1520,5
Lokaludvalg - Amager Øst;2017;1535,0
Lokaludvalg - Amager Øst;2018;1581,0
Lokaludvalg - Amager Øst;2019;1535,7
Lokaludvalg - Amager Øst;2020;1462,5
Lokaludvalg - Amager Øst;2021;1474,9
Lokaludvalg - Amager Øst;2022;1357,2
Lokaludvalg - Amager Øst;2023;1249,8
Lokaludvalg - Amager Øst;2024;1264,9
Lokaludvalg - Amager Vest;2006;1594,1
Lokaludvalg - Amager Vest;2007;1636,4
Lokaludvalg - Amager Vest;2008;1655,3
Lokaludvalg - Amager Vest;2009;1756,4
Lokaludvalg - Amager Vest;2010;1875,5
Lokaludvalg - Amager Vest;2011;1806,0
Lokaludvalg - Amager Vest;2012;1668,4
Lokaludvalg - Amager Vest;2013;1786,2
Lokaludvalg - Amager Vest;2014;1719,6
Lokaludvalg - Amager Vest;2015;1659,6
Lokaludvalg - Amager Vest;2016;1782,3
Lokaludvalg - Amager Vest;2017;1834,5
Lokaludvalg - Amager Vest;2018;1725,4
Lokaludvalg - Amager Vest;2019;1707,2
Lokaludvalg - Amager Vest;2020;1521,1
Lokaludvalg - Amager Vest;2021;1612,4
Lokaludvalg - Amager Vest;2022;1333,7
Lokaludvalg - Amager Vest;2023;1364,6
Lokaludvalg - Amager Vest;2024;1336,0
Lokaludvalg - Uden for inddeling;2006;436,1
Lokaludvalg - Uden for inddeling;2007;967,8
Lokaludvalg - Uden for inddeling;2008;440,3
Lokaludvalg - Uden for inddeling;2009;621,6
Lokaludvalg - Uden for inddeling;2010;449,9
Lokaludvalg - Uden for inddeling;2011;508,6
Lokaludvalg - Uden for inddeling;2012;546,6
Lokaludvalg - Uden for inddeling;2013;523,2
Lokaludvalg - Uden for inddeling;2014;811,2
Lokaludvalg - Uden for inddeling;2015;658,5
Lokaludvalg - Uden for inddeling;2016;591,1
Lokaludvalg - Uden for inddeling;2017;649,2
Lokaludvalg - Uden for inddeling;2018;533,4
Lokaludvalg - Uden for inddeling;2019;850,9
Lokaludvalg - Uden for inddeling;2020;376,2
Lokaludvalg - Uden for inddeling;2021;391,4
Lokaludvalg - Uden for inddeling;2022;387,8
Lokaludvalg - Uden for inddeling;2023;208,5
Lokaludvalg - Uden for inddeling;2024;164,5
Indre By - Middelalderbyen;2006;1535,4
Indre By - Middelalderbyen;2007;1319,7
Indre By - Middelalderbyen;2008;1475,3
Indre By - Middelalderbyen;2009;1314,1
Indre By - Middelalderbyen;2010;1474,6
Indre By - Middelalderbyen;2011;1484,6
Indre By - Middelalderbyen;2012;1177,1
Indre By - Middelalderbyen;2013;1471,0
Indre By - Middelalderbyen;2014;1183,1
Indre By - Middelalderbyen;2015;1448,7
Indre By - Middelalderbyen;2016;1508,2
Indre By - Middelalderbyen;2017;1358,1
Indre By - Middelalderbyen;2018;1501,3
Indre By - Middelalderbyen;2019;1281,4
Indre By - Middelalderbyen;2020;1168,3
Indre By - Middelalderbyen;2021;1152,5
Indre By - Middelalderbyen;2022;1104,0
Indre By - Middelalderbyen;2023;1082,7
Indre By - Middelalderbyen;2024;888,4
Indre By - Metropolzonen;2006;1516,0
Indre By - Metropolzonen;2007;2532,4
Indre By - Metropolzonen;2008;1585,2
Indre By - Metropolzonen;2009;1649,3
Indre By - Metropolzonen;2010;1923,4
Indre By - Metropolzonen;2011;2188,2
Indre By - Metropolzonen;2012;1460,9
Indre By - Metropolzonen;2013;1806,2
Indre By - Metropolzonen;2014;1833,1
Indre By - Metropolzonen;2015;1835,0
Indre By - Metropolzonen;2016;1837,7
Indre By - Metropolzonen;2017;1320,0
Indre By - Metropolzonen;2018;1557,6
Indre By - Metropolzonen;2019;1298,9
Indre By - Metropolzonen;2020;1738,0
Indre By - Metropolzonen;2021;1533,8
Indre By - Metropolzonen;2022;1724,7
Indre By - Metropolzonen;2023;1036,2
Indre By - Metropolzonen;2024;917,2
Indre By - Nansensgade-kvarteret;2006;1713,3
Indre By - Nansensgade-kvarteret;2007;1507,4
Indre By - Nansensgade-kvarteret;2008;1537,6
Indre By - Nansensgade-kvarteret;2009;1596,8
Indre By - Nansensgade-kvarteret;2010;1265,0
Indre By - Nansensgade-kvarteret;2011;1473,3
Indre By - Nansensgade-kvarteret;2012;1732,5
Indre By - Nansensgade-kvarteret;2013;1494,1
Indre By - Nansensgade-kvarteret;2014;1456,2
Indre By - Nansensgade-kvarteret;2015;1389,2
Indre By - Nansensgade-kvarteret;2016;1718,0
Indre By - Nansensgade-kvarteret;2017;1738,6
Indre By - Nansensgade-kvarteret;2018;1498,5
Indre By - Nansensgade-kvarteret;2019;1473,4
Indre By - Nansensgade-kvarteret;2020;1235,8
Indre By - Nansensgade-kvarteret;2021;1317,1
Indre By - Nansensgade-kvarteret;2022;1164,7
Indre By - Nansensgade-kvarteret;2023;1195,8
Indre By - Nansensgade-kvarteret;2024;1592,9
Indre By - Øster Farimagsgade-kvarteret;2006;1643,3
Indre By - Øster Farimagsgade-kvarteret;2007;1639,1
Indre By - Øster Farimagsgade-kvarteret;2008;1721,4
Indre By - Øster Farimagsgade-kvarteret;2009;1631,9
Indre By - Øster Farimagsgade-kvarteret;2010;1521,8
Indre By - Øster Farimagsgade-kvarteret;2011;1692,6
Indre By - Øster Farimagsgade-kvarteret;2012;1619,4
Indre By - Øster Farimagsgade-kvarteret;2013;1489,5
Indre By - Øster Farimagsgade-kvarteret;2014;1340,4
Indre By - Øster Farimagsgade-kvarteret;2015;1759,3
Indre By - Øster Farimagsgade-kvarteret;2016;1790,0
Indre By - Øster Farimagsgade-kvarteret;2017;1491,3
Indre By - Øster Farimagsgade-kvarteret;2018;1655,8
Indre By - Øster Farimagsgade-kvarteret;2019;1508,0
Indre By - Øster Farimagsgade-kvarteret;2020;1197,3
Indre By - Øster Farimagsgade-kvarteret;2021;1720,3
Indre By - Øster Farimagsgade-kvarteret;2022;1027,8
Indre By - Øster Farimagsgade-kvarteret;2023;1481,6
Indre By - Øster Farimagsgade-kvarteret;2024;1334,8
Indre By - Østerport;2006;1349,2
Indre By - Østerport;2007;1557,1
Indre By - Østerport;2008;1199,7
Indre By - Østerport;2009;1455,1
Indre By - Østerport;2010;2065,9
Indre By - Østerport;2011;1241,9
Indre By - Østerport;2012;1530,2
Indre By - Østerport;2013;1399,1
Indre By - Østerport;2014;1385,8
Indre By - Østerport;2015;1300,0
Indre By - Østerport;2016;1606,6
Indre By - Østerport;2017;1157,5
Indre By - Østerport;2018;1545,5
Indre By - Østerport;2019;1441,2
Indre By - Østerport;2020;1507,8
Indre By - Østerport;2021;1608,0
Indre By - Østerport;2022;1059,9
Indre By - Østerport;2023;1312,8
Indre By - Østerport;2024;1596,1
Indre By - Frederiksstaden;2006;1398,6
Indre By - Frederiksstaden;2007;1460,4
Indre By - Frederiksstaden;2008;1602,2
Indre By - Frederiksstaden;2009;1558,9
Indre By - Frederiksstaden;2010;1495,5
Indre By - Frederiksstaden;2011;1617,6
Indre By - Frederiksstaden;2012;1334,1
Indre By - Frederiksstaden;2013;1275,1
Indre By - Frederiksstaden;2014;1454,3
Indre By - Frederiksstaden;2015;1181,3
Indre By - Frederiksstaden;2016;1645,1
Indre By - Frederiksstaden;2017;1560,2
Indre By - Frederiksstaden;2018;1368,3
Indre By - Frederiksstaden;2019;1605,5
Indre By - Frederiksstaden;2020;1543,6
Indre By - Frederiksstaden;2021;1531,5
Indre By - Frederiksstaden;2022;1349,6
Indre By - Frederiksstaden;2023;1073,7
Indre By - Frederiksstaden;2024;1477,8
Indre By - Gammelholm og Nyhavn;2006;1101,7
Indre By - Gammelholm og Nyhavn;2007;2078,3
Indre By - Gammelholm og Nyhavn;2008;1304,3
Indre By - Gammelholm og Nyhavn;2009;1654,5
Indre By - Gammelholm og Nyhavn;2010;1122,8
Indre By - Gammelholm og Nyhavn;2011;1420,5
Indre By - Gammelholm og Nyhavn;2012;1166,1
Indre By - Gammelholm og Nyhavn;2013;1379,9
Indre By - Gammelholm og Nyhavn;2014;1533,5
Indre By - Gammelholm og Nyhavn;2015;975,3
Indre By - Gammelholm og Nyhavn;2016;1574,8
Indre By - Gammelholm og Nyhavn;2017;1316,5
Indre By - Gammelholm og Nyhavn;2018;1249,3
