FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.5861,5861,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Kgs. Nytorv,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,44234271-7618-43e7-a602-4ae98541b11e,Maskinel,TMF,TMF,,C (3 daglige tømninger ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Pizzakurv 2020,FALSE,,2020-06-16T07:12:51.837,FALSE,MULTIPOINT ((12.58511200091181 55.679628501054616))
affaldskurve_puma.5862,5862,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Nørre Farimagsgade,,12.2.2 Københavnerkurv,1c5dbbb0-918f-4676-95e9-21f6b0dd4685,f9932517-4b23-435d-a3f4-390675db3636,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Skrå Københavnerkurv,FALSE,Skrå københavnerkurv,2019-11-08T04:35:30.84,FALSE,MULTIPOINT ((12.567145154233684 55.68381914031909))
affaldskurve_puma.5864,5864,IDrift,Amager Fælled,AmagerFælled_Gl_GGO,278,Amage_Amage_278,Amager Vest,Gader og pladser,Øvrig gade,Amager Fælled,Sti,12.2.2 Københavnerkurv,1c5dbbb0-918f-4676-95e9-21f6b0dd4685,3a84fb05-9565-4177-aa31-b57344fbfb00,Manuel,TMF,TMF,,,,Skrå Københavnerkurv,FALSE,Skrå københavnerkurv,2019-05-14T07:35:07.87,FALSE,MULTIPOINT ((12.576086657105916 55.65994586897123))
affaldskurve_puma.5865,5865,IDrift,Brønshøjparken,brønshøjP,176,Brøns_brøns_176,Brønshøj-Husum (udl.),Parker,Klassisk park,Brønshøjparken,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,b992b047-3ecf-4418-8e4e-e6c225bcc713,Maskinel,Ekstern1,OKNygaard,,H (1 ugentlig hverdagstømning),H (1 ugentlig hverdagstømning),Pizzakurv 2020,FALSE,,2021-02-17T07:36:13.458,FALSE,MULTIPOINT ((12.508913968649047 55.70593290369148))
affaldskurve_puma.5866,5866,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Østerbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,a0355fab-6c92-4bed-8277-74139d7eac19,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,FALSE,,2021-03-08T08:24:59.428,FALSE,MULTIPOINT ((12.577301022574536 55.70214840838921))
affaldskurve_puma.5878,5878,IDrift,Fælledparken,Fælledparken_Orb,205,Fælle_Fælle_205,Østerbro,Parker,Klassisk park,Fælledparken,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,6af28b27-58a4-4b8f-bbbf-03e89af54fb1,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2021-06-09T05:34:39.021,FALSE,MULTIPOINT ((12.564623353579218 55.702727400382265))
affaldskurve_puma.5882,5882,IDrift,Amager Strandpark,1B,3450,Amage_1B_3450,Amager Øst,Natur,Naturområde,Amager Strandpark,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,77bcf887-19b8-4ffe-a6c1-e4e5d13f5fd1,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2021-05-21T06:46:40.528,FALSE,MULTIPOINT ((12.637007647581804 55.65737389561824))
affaldskurve_puma.5883,5883,IDrift,Fælledparken,Fælledparken_Orb,205,Fælle_Fælle_205,Østerbro,Parker,Klassisk park,Fælledparken,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,d2aecdf5-8cd3-46ca-98b1-3a2c09a850a8,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2021-06-09T04:12:51.042,FALSE,MULTIPOINT ((12.56691602379404 55.70500384002132))
affaldskurve_puma.5885,5885,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gothersgade,,12.2.9 Tårnkurv,1c1e2f1a-5121-41b2-9a00-5fc6b883a040,e1891572-1595-4f33-b726-0fb7ecd8f69d,Maskinel,TMF,TMF,,C (3 daglige tømninger ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Tårnkurv,FALSE,,2018-08-27T13:59:36.912,FALSE,MULTIPOINT ((12.582563712992897 55.68213519822249))
affaldskurve_puma.5886,5886,IDrift,Amager Strandpark,3B,3447,Amage_3B_3447,Amager Øst,Natur,Naturområde,Amager Strandpark,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,1b47190f-945d-4acb-ac12-0c80a98dfa31,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2021-05-21T06:21:41.228,FALSE,MULTIPOINT ((12.648155341622783 55.65451372718803))
affaldskurve_puma.5889,5889,IDrift,Nørrebroparken,Nørrebroparken,475,Nørre_Nørre_475,Nørrebro,Parker,Klassisk park,Nørrebroparken,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,503a7683-7257-45d3-95fb-08e47e32474c,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2020-02-17T16:21:36.19,FALSE,MULTIPOINT ((12.541600344860955 55.693801045886744))
affaldskurve_puma.5893,5893,IDrift,Bydækkende drift,,,,Nørrebro,Parker,Klassisk park,Folkets Park,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,e60dcdee-dcd5-4d3c-824c-b2091e3baad2,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),"660L Container, grøn",FALSE,660L G,2019-11-08T03:26:47.768,FALSE,MULTIPOINT ((12.55531338384836 55.68760692185008))
affaldskurve_puma.5899,5899,IDrift,Classens Have,ClassensHave,210,Class_Class_210,Indre By,Parker,Klassisk park,Classensgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,bb7c94ed-1005-4c72-8553-6d3410afc017,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:23.25,FALSE,MULTIPOINT ((12.58904619354897 55.69750820579057))
affaldskurve_puma.5900,5900,IDrift,Nørrebroparken,Nørrebroparken,475,Nørre_Nørre_475,Nørrebro,Parker,Klassisk park,Nørrebroparken,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,0cf3e5ca-fc6f-4054-b2cb-3c018b718f88,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),"660L Container, grøn",FALSE,660L G,2018-08-27T14:02:34.428,FALSE,MULTIPOINT ((12.541697907524334 55.69459428152993))
affaldskurve_puma.5902,5902,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,401f4511-c612-4649-8362-b2edafe4a91f,Manuel,KFF,KFF,,,,Københavnerkurven,FALSE,,2018-08-27T14:02:27.158,FALSE,MULTIPOINT ((12.494070419440659 55.644660394688145))
affaldskurve_puma.5903,5903,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig plads,Nørreport,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,6473e4d0-a5ff-4f36-92e8-bf4f7f9bdfe9,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T09:07:46.612,FALSE,MULTIPOINT ((12.571542972675756 55.68296750541277))
