FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.7341,7341,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Kvarteret ved Strandvejen,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,ad1153b4-5bf8-4bd0-a2c4-fc93689a4229,Maskinel,,,,G (2 ugentlige hverdagstømninger),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2022-08-19T10:12:15.752,FALSE,MULTIPOINT ((12.583899820339184 55.71722219179032))
affaldskurve_puma.7343,7343,IDrift,Krogebjergparken,Krogebjergparken,181,Kroge_Kroge_181,Vanløse,Parker,Klassisk park,Krogebjergparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,294b6d71-64af-4c09-b7f2-17f161a841ae,Manuel,TMF,TMF,,G (2 ugentlige hverdagstømninger),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Københavnerkurven,FALSE,,2018-08-27T13:58:09.838,FALSE,MULTIPOINT ((12.465383392032416 55.69955473285979))
affaldskurve_puma.7344,7344,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Kvarteret ved Nordhavn,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,9156a152-6dee-4b00-be8c-faae2fb721ae,Maskinel,,,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2022-08-24T07:48:21.263,FALSE,MULTIPOINT ((12.592196544729667 55.71225912588435))
affaldskurve_puma.7345,7345,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,5ebe1755-2479-4618-b308-57d8351afd35,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-11-04T08:15:47.429,FALSE,MULTIPOINT ((12.57356500010781 55.67970252362837))
affaldskurve_puma.7348,7348,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Kvarteret ved Sankt Hans Torv,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,6ee526d9-216a-4298-8280-4e43e8d3677d,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-09-01T11:13:09.974,FALSE,MULTIPOINT ((12.555220384632134 55.69499949061401))
affaldskurve_puma.7357,7357,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Klassisk park,Kastellets udenværker,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,f077cef6-f00f-4d6f-a2d4-a8d699212b4d,Manuel,,,,,,Københavnerkurven,FALSE,,2022-09-18T16:11:31.496,FALSE,MULTIPOINT ((12.594168180888998 55.69471464961746))
affaldskurve_puma.7358,7358,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Kvarteret ved Strandboulevarden,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,0f5cbcdc-10fe-4bd8-b4f6-5cae95f1f802,Maskinel,,,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv,FALSE,,2022-08-22T12:44:36.787,FALSE,MULTIPOINT ((12.57774187365517 55.70154157541897))
affaldskurve_puma.7359,7359,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Klassisk park,Kastellets udenværker,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,92773e78-32f3-4346-806c-be2e8a524e33,Manuel,,,,,,Københavnerkurven,FALSE,,2022-09-18T16:12:19.319,FALSE,MULTIPOINT ((12.594410675760795 55.69464610476297))
affaldskurve_puma.7363,7363,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Urban park,Langelinieanlægget,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,8c3259b0-8170-4fbb-b042-59b77c01c313,Manuel,,,,,,Richard Møller,FALSE,,2022-09-19T13:36:05.156,FALSE,MULTIPOINT ((12.599549732113548 55.690551245094085))
affaldskurve_puma.7365,7365,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Klassisk park,Christianshavns Vold,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,f93abf7f-ab17-469f-a9d0-9219411594fe,Manuel,,,,,,Tremmekurv,FALSE,,2022-09-22T11:39:31.139,FALSE,MULTIPOINT ((12.593911220955023 55.67083901449869))
affaldskurve_puma.7368,7368,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Lege- og aktivitetsområde,Christianshavns Vold,Legeplads ,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,d349a6e5-6501-4917-898a-06e87914be62,Manuel,,,,,,Richard Møller,FALSE,,2022-09-22T11:59:06.296,FALSE,MULTIPOINT ((12.592799274437938 55.669529289759716))
affaldskurve_puma.7372,7372,IDrift,Småparker Indre By_Christianshavn,Israels Plads,1871,Småpa_Israe_1871,Indre By,Gader og pladser,Grøn plads,Israels Plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,41fe0acd-555a-4598-afa1-0b51f7875b79,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Pizzakurv 2020,FALSE,,2020-11-04T07:43:56.962,FALSE,MULTIPOINT ((12.569089056983135 55.68340362528253))
affaldskurve_puma.7373,7373,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Kvarteret ved Hillerødgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,b841a5ec-f886-446a-b375-40ba20842616,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T14:02:39.659,FALSE,MULTIPOINT ((12.539687413599655 55.697021525356014))
affaldskurve_puma.7375,7375,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave,Gader og pladser,Gade med grønt,Sti langs Fiskerhavnen,Sti,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,38ac6c13-6f89-4ed5-914c-efa0945a00eb,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T13:58:03.939,FALSE,MULTIPOINT ((12.539903640136027 55.64303637341158))
affaldskurve_puma.7376,7376,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,b4fdd18f-3eda-4992-9095-62e029413dec,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,TRUE,,2018-08-27T14:00:47.306,FALSE,MULTIPOINT ((12.589629329162753 55.698534257245065))
affaldskurve_puma.7377,7377,IDrift,Småparker Indre By_Christianshavn,Israels Plads,1871,Småpa_Israe_1871,Indre By,Gader og pladser,Grøn plads,Israels Plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,4650ad30-fbd7-4b47-9747-42d619530775,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-11-04T07:33:51.333,FALSE,MULTIPOINT ((12.56793949589222 55.68303769000488))
affaldskurve_puma.7378,7378,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Øster Farimagsgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,0b35b414-726d-4d0d-a20d-e7071a62a80a,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Københavnerkurven,FALSE,,2021-09-02T09:50:01.684,TRUE,MULTIPOINT ((12.575186233755282 55.69023902127013))
affaldskurve_puma.7379,7379,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Blegdamsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,09c731ed-b619-45e3-a9d2-ed76e9206470,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:18.68,FALSE,MULTIPOINT ((12.572680715682433 55.6968201598731))
affaldskurve_puma.7380,7380,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Frederiksborggade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,1ad15437-1a06-4de5-912d-7448e6646c4e,Manuel,TMF,TMF,,C (3 daglige tømninger ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:59:51.578,FALSE,MULTIPOINT ((12.570671290160979 55.6838876379975))
affaldskurve_puma.7381,7381,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Nørre Farimagsgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,bbbc4d27-a0c1-4097-bb1c-ccfebc902b8a,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:58:19.16,FALSE,MULTIPOINT ((12.566631282056068 55.68332525693728))
affaldskurve_puma.7382,7382,IDrift,Bydækkende drift,,,,Indre By,Småarealer,Øvrigt småareal,Gyldenløvesgade,P-plads,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,0e26506f-5e25-44f3-834d-1ed5ef47c155,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:59:03.745,FALSE,MULTIPOINT ((12.562048058955067 55.6807124427363))
affaldskurve_puma.7384,7384,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Strandvejen,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,c2c002a3-ad37-4345-add2-0368fbb3fb02,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:03.221,FALSE,MULTIPOINT ((12.577657989178697 55.72383906418407))
affaldskurve_puma.7385,7385,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Strandvejen,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,53b1e6fe-c106-4759-aa38-1dcc87963b1e,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:02.92,FALSE,MULTIPOINT ((12.577016211548981 55.72103947370335))
affaldskurve_puma.7387,7387,IDrift,Sønder Boulevard,Sønder Boulevard,170,Sønde_Sønde_170,Vesterbro-Kgs.Enghave (udl.),Parker,Klassisk park,Sønder Boulevard,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,3e72423b-5b15-437a-9d13-9b5a286cf8c3,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,TRUE,,2021-02-17T08:39:52.121,FALSE,MULTIPOINT ((12.549464273946317 55.66539147487518))
affaldskurve_puma.7389,7389,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Grøn plads,Kildevældsgade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,98c7a5dc-c7d4-4db7-8859-9babffc2daba,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:02:06.391,FALSE,MULTIPOINT ((12.574516471837317 55.71437519331742))
affaldskurve_puma.7390,7390,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Kvarteret ved Skt. Kjelds Plads,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,b2f00edd-c77d-4dfb-b4ae-289ae9c89863,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:01:57.254,TRUE,MULTIPOINT ((12.568670283653601 55.71354318920281))
affaldskurve_puma.7391,7391,IDrift,Bydækkende drift,,,,Østerbro,Småarealer,Øvrigt småareal,Lilly helveg Petersens Plads,Dækningsgrav,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,4063f20a-294e-48c2-9515-ff3af1d748c7,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:02:18.779,FALSE,MULTIPOINT ((12.575430893847068 55.7085484184296))
affaldskurve_puma.7392,7392,IDrift,Bydækkende drift,,,,Brønshøj-Husum (udl.),Gader og pladser,Gade med grønt,Frederikssundsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,d7a44e95-f61d-4e7a-94c9-4567e8759b6d,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Københavnerkurven,FALSE,,2021-09-10T08:21:36.807,FALSE,MULTIPOINT ((12.484124833263534 55.7083252480495))
affaldskurve_puma.7395,7395,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,8bbcd2a9-46ed-43ef-8925-c593e072fc4d,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,TRUE,,2018-08-27T13:59:03.146,FALSE,MULTIPOINT ((12.566058403437111 55.684223235322314))
affaldskurve_puma.7407,7407,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,12.2.7 Lotus,3c2a9cd2-c8f0-4316-bbb8-b20172ddd8d7,07c8248b-524a-496a-bda7-1c8cdcce39df,Manuel,TMF,TMF,,H (1 ugentlig hverdagstømning),G (2 ugentlige hverdagstømninger),Lotus,FALSE,,2018-08-27T14:01:53.94,FALSE,MULTIPOINT ((12.525299336661352 55.66219108259042))
affaldskurve_puma.7413,7413,IDrift,Småparker Indre By_Christianshavn,SktPaulsPlads,299,Småpa_SktPa_299,Indre By,Gader og pladser,Øvrig plads,Sankt Pauls Plads,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,5d4f6d24-428a-4d72-b67c-1c253ac9a8a4,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Richard Møller,TRUE,,2018-08-27T13:58:33.608,FALSE,MULTIPOINT ((12.586829531987524 55.68750387857877))
affaldskurve_puma.7420,7420,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Øster Voldgade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,fff299b6-9f65-4fcb-9d51-523278744650,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,TRUE,,2018-08-27T13:58:07.637,FALSE,MULTIPOINT ((12.573783730716912 55.68491177847147))
affaldskurve_puma.7423,7423,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.6 Pariserkurv,69882c55-185c-45d9-a785-f7839e1da8dd,373c0df4-b54c-440c-8aab-3db343d667b1,Manuel,,,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pariserkurv,FALSE,,2022-05-06T10:33:54.518,FALSE,MULTIPOINT ((12.572471155066578 55.68326507934221))
affaldskurve_puma.7424,7424,IDrift,Småparker Vesterbro-Kgs Enghave,Litauens Plads,152,Småpa_Litau_152,Vesterbro-Kgs.Enghave (udl.),Småarealer,Rekreativt småareal,Litauens Plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,f1af3d92-35a4-4eb0-ba3e-234bbc565d37,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,FALSE,,2022-05-05T08:53:18.808,FALSE,MULTIPOINT ((12.552405361837776 55.667532927008864))
affaldskurve_puma.7425,7425,IDrift,Småparker Vesterbro-Kgs Enghave,Litauens Plads,152,Småpa_Litau_152,Vesterbro-Kgs.Enghave (udl.),Småarealer,Rekreativt småareal,Litauens Plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,2d41b786-a2a3-44d7-b84f-8cbb594844b9,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,TRUE,,2022-05-05T08:57:47.396,FALSE,MULTIPOINT ((12.55310365968491 55.667551567761734))
affaldskurve_puma.7426,7426,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,8680641e-32e9-4484-b01c-c513b8ab2aaa,Maskinel,,,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),"660L Container, grøn",FALSE,660L G,2022-06-17T10:23:53.21,FALSE,MULTIPOINT ((12.615965030278545 55.657257707193814))
affaldskurve_puma.7427,7427,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.9 Tårnkurv,1c1e2f1a-5121-41b2-9a00-5fc6b883a040,5e5c975b-5e42-4505-931d-585e19bde138,Maskinel,,,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv,FALSE,,2022-06-20T08:15:40.687,FALSE,MULTIPOINT ((12.614238482778571 55.65842407985052))
affaldskurve_puma.7429,7429,IDrift,Småparker Vesterbro-Kgs Enghave,Litauens Plads,152,Småpa_Litau_152,Vesterbro-Kgs.Enghave (udl.),Småarealer,Rekreativt småareal,Litauens Plads,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,5b10c571-0086-411b-8099-be84fd85d75a,Maskinel,Ekstern1,OKNygaard,,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),"660L Container, grøn",FALSE,660L G,2022-05-09T10:29:57.34,FALSE,MULTIPOINT ((12.552995824558701 55.66795458566384))
affaldskurve_puma.7435,7435,IDrift,Småparker Indre By_Christianshavn,Havnegade,2410,Småpa_Havne_2410,Indre By,Parker,Urban park,Havnegade,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,51671102-d00f-4f59-ad38-f13a32758b3e,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv,TRUE,,2018-08-27T13:57:46.12,FALSE,MULTIPOINT ((12.589204106538586 55.67656811840786))
affaldskurve_puma.7436,7436,IDrift,Enghaven,Enghaven,206,Engha_Engha_206,Vesterbro-Kgs.Enghave (udl.),Haver,Haveanlæg,Enghaveparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,4484b21f-cdf4-4442-b103-7315d88c069e,Manuel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Københavnerkurven,FALSE,,2019-12-18T07:17:20.101,FALSE,MULTIPOINT ((12.54291648685732 55.66663572096072))
affaldskurve_puma.7440,7440,IDrift,Småparker Vanløse,Sallingvej/Jyllingevej,1249,Småpa_Salli_1249,Vanløse,Småarealer,Rekreativt småareal,Marie Christensens Plads,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,4f0c16f0-bed5-4fdd-bc0e-90a100d19e0b,Manuel,TMF,TMF,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T14:00:12.068,FALSE,MULTIPOINT ((12.49440356912294 55.69354417590382))
affaldskurve_puma.7442,7442,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,9313d17b-4eab-414b-89e2-d5c5c04c2c01,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T13:58:53.724,FALSE,MULTIPOINT ((12.478520150192105 55.66486417195934))
affaldskurve_puma.7443,7443,IDrift,Vigerslevparken,Vigerslevparken,2250,Viger_Viger_2250,Valby,Parker,Klassisk park,Vigerslevparken,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,59449173-231f-4cf3-b8e4-184e61b76844,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T13:58:53.16,FALSE,MULTIPOINT ((12.47859157786281 55.66484545416336))
affaldskurve_puma.7448,7448,IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Kvarteret ved Nordre Frihavnsgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,a1fb207b-8325-427b-b834-634021430ef8,Manuel,,,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2022-07-06T18:01:06.195,FALSE,MULTIPOINT ((12.58979350551134 55.70088585485698))
affaldskurve_puma.7449,7449,IDrift,Småparker Vesterbro-Kgs Enghave,Litauens Plads,152,Småpa_Litau_152,Vesterbro-Kgs.Enghave (udl.),Småarealer,Rekreativt småareal,Litauens Plads,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,43b34311-5ca9-41d8-b118-c07c56668779,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,FALSE,,2022-05-05T08:49:11.928,FALSE,MULTIPOINT ((12.552339164171935 55.66790087736552))
affaldskurve_puma.7450,7450,IDrift,Bydækkende drift,,,,Indre By,Småarealer,Øvrigt småareal,Gyldenløvesgade,P-plads,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,00281204-07db-474c-bb53-055899ea9f79,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:57:36.578,FALSE,MULTIPOINT ((12.562652527292034 55.68046186164673))
affaldskurve_puma.7453,7453,IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Øvrig gade,Gade i Valby,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,00746be2-ad32-4234-87e5-954b9c19c841,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:00:15.74,FALSE,MULTIPOINT ((12.50488334051166 55.661339018117935))
affaldskurve_puma.7454,7454,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,00a7a064-8a3f-41dd-a5c7-e9157dce5abc,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:01:44.206,FALSE,MULTIPOINT ((12.590235588592874 55.69688513671959))
affaldskurve_puma.7455,7455,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Klassisk park,Christianshavns Vold,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,00a9f859-e4dd-4d0a-af6f-18f3ca481966,Manuel,TMF,TMF,,C (3 daglige tømninger ugens 7 dage),C (3 daglige tømninger ugens 7 dage),Tremmekurv,FALSE,,2018-08-27T13:59:13.564,FALSE,MULTIPOINT ((12.595939061834015 55.669566022978536))
affaldskurve_puma.7456,7456,IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Gade med grønt,Vigerslev Allé,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,01a958ac-5706-446f-9782-3074117f08af,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:01:08.444,FALSE,MULTIPOINT ((12.498989385772386 55.660137514086045))
affaldskurve_puma.7457,7457,IDrift,Indre Søer,Indre Søer,199,Indre_Indre_199,Østerbro,Parker,Klassisk park,Sortedams Dosseringen,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,014e5df7-4ec6-4ed8-828a-b33f12a341c0,Manuel,TMF,TMF,,,,Tremmekurv,FALSE,,2018-08-27T14:02:02.818,FALSE,MULTIPOINT ((12.578310606064212 55.69758202938578))
affaldskurve_puma.7458,7458,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Klassisk park,Kastellets udenværker,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,01742ad6-1e51-4e92-ad5a-7544e0d01972,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T14:01:15.297,FALSE,MULTIPOINT ((12.59552379085328 55.693347620845195))
affaldskurve_puma.7461,7461,IDrift,Småparker Sundbyøster,Italiensvej-VEST,194,Småpa_Itali_194,Amager Øst,Småarealer,Rekreativt småareal,Italiensvej,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,01de19c7-c8c6-4633-b8a6-5063ea9ecfce,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:58:27.776,FALSE,MULTIPOINT ((12.629677837410346 55.65627450616831))
